user, follower
625,573096
625,475487
625,355938
625,42160
625,565228
625,542919
625,150396
625,555282
625,539790
625,553911
625,491117
625,34257
625,402059
625,489361
625,265834
625,506346
625,214345
625,537028
625,174506
625,534500
625,104994
625,365276
625,224873
625,452644
625,434633
625,91540
625,25213
625,504645
625,142128
625,15728
625,502570
625,268272
625,498098
625,308448
625,489434
625,348460
625,13651
625,364855
625,69617
625,22448
625,185773
625,261381
625,118868
625,464479
625,102829
625,182124
625,90574
625,163906
625,215952
625,450421
625,27614
625,455586
625,92526
625,64050
625,413059
625,198316
625,359207
625,126221
625,128629
625,51848
625,430942
625,449484
625,433879
625,25843
625,43431
625,342642
625,187830
625,5378
625,441118
625,60139
625,222926
625,41881
625,86455
625,211342
625,231101
625,76884
625,533
625,50572
625,419173
625,6840
625,413613
625,32598
625,208392
625,424332
625,422566
625,422563
625,50376
625,374571
625,199911
625,7385
625,118968
625,66119
625,379
625,15300
625,624
625,89874
625,12466
625,381898
625,106061
625,262659
625,232770
625,292941
625,97460
625,11170
625,391268
625,223813
625,388469
625,18126
625,386603
625,210937
625,81520
625,22910
625,114716
625,221786
625,110577
625,379320
625,347240
625,278100
625,243704
625,220171
625,105830
625,265625
625,62191
625,100988
625,18333
625,293283
625,134555
625,340266
625,151619
625,72424
625,320796
625,158850
625,10646
625,295815
625,65958
625,72998
625,325355
625,295150
625,109492
625,63694
625,67312
625,175138
625,184998
625,33627
625,266047
625,59243
625,294071
625,97780
625,184691
625,135774
625,9242
625,8019
625,122066
625,316210
625,312613
625,275048
625,271482
625,167944
625,12250
625,126831
625,88879
625,304109
625,58133
625,80593
625,129064
625,294126
625,236002
625,297882
625,28768
625,22412
625,267760
625,227668
625,197628
625,33923
625,97606
625,133186
625,4193
625,228104
625,161196
625,255759
625,262090
625,14072
625,205002
625,226069
625,264325
625,264248
625,32638
625,43007
625,4005
625,37321
625,256692
625,259206
625,507
625,249537
625,249057
625,67784
625,75451
625,104359
625,241972
625,186896
625,161773
625,188146
625,8226
625,231463
625,134547
625,34628
625,233772
625,3393
625,104311
625,226725
625,19557
625,226428
625,225356
625,225628
625,223939
625,53234
625,64591
625,9741
625,217080
625,116202
625,214281
625,2026
625,201326
625,169270
625,26949
625,87
625,123316
625,1864
625,191136
625,12471
625,188195
625,185557
625,165023
625,176649
625,134631
625,171492
625,16400
625,15130
625,50776
625,113015
625,170767
625,103
625,67211
625,126490
625,158955
625,11546
625,161082
625,158586
625,119556
625,41465
625,104495
625,2795
625,153404
625,152238
625,150294
625,33856
625,140779
625,136795
625,138564
625,138304
625,98251
625,43086
625,103635
625,11092
625,100635
625,133775
625,121181
625,130284
625,125179
625,1595
625,11725
625,129124
625,120938
625,128161
625,108800
625,5141
625,8486
625,125634
625,96992
625,119108
625,124213
625,603
625,123503
625,45669
625,3169
625,117923
625,6371
625,45395
625,96777
625,114878
625,84927
625,116077
625,9646
625,47922
625,47892
625,98140
625,50313
625,383
625,39734
625,91158
625,83903
625,45249
625,83573
625,46690
625,111877
625,99567
625,33125
625,38749
625,84948
625,5705
625,28883
625,2531
625,77920
625,803
625,4901
625,25150
625,17655
625,93755
625,93819
625,34227
625,20053
625,104340
625,69
625,104203
625,95540
625,58141
625,61721
625,27341
625,33780
625,56830
625,1549
625,90612
625,1415
625,4805
625,29116
625,50477
625,4564
625,21788
625,54538
625,3251
625,31204
625,96744
625,730
625,90085
625,9965
625,1085
625,2119
625,63844
625,41320
625,57363
625,25204
625,97233
625,58636
625,28299
625,94741
625,24573
625,91431
625,93905
625,62337
625,21785
625,94261
625,21183
625,6001
625,40621
625,10433
625,46998
625,12083
625,30736
625,91296
625,23301
625,58
625,83831
625,49108
625,21907
625,2358
625,852
625,27224
625,78431
625,27072
625,26793
625,8533
625,48614
625,31498
625,45184
625,8952
625,33701
625,35488
625,55048
625,62797
625,77828
625,2810
625,70317
625,87612
625,2125
625,42216
625,7762
625,60804
625,8175
625,60237
625,1848
625,372
625,725
625,50375
625,75357
625,67695
625,30842
625,503
625,5344
625,22716
625,73825
625,1983
625,71641
625,11385
625,22523
625,6113
625,21533
625,81674
625,4518
625,68026
625,39712
625,5773
625,20159
625,77582
625,46092
625,6358
625,68273
625,25020
625,9738
625,5810
625,77667
625,37154
625,151
625,47679
625,23114
625,78245
625,1805
625,49920
625,40480
625,1376
625,19057
625,69832
625,42936
625,20312
625,37330
625,305
625,25404
625,67785
625,276
625,1914
625,201
625,12492
625,1925
625,4000
625,46341
625,69158
625,19939
625,26001
625,859
625,41588
625,9298
625,26750
625,63893
625,22324
625,27597
625,70393
625,57501
625,810
625,3297
625,19074
625,38502
625,3306
625,25250
625,1894
625,32878
625,9009
625,540
625,10095
625,111
625,59822
625,60641
625,45086
625,1996
625,5035
625,23933
625,2000
625,18488
625,31770
625,53428
625,2433
625,1974
625,2418
625,47518
625,2
625,16347
625,24708
625,37355
625,58586
625,14736
625,35665
625,56528
625,51241
625,53217
625,62725
625,62583
625,42365
625,52409
625,62570
625,44374
625,32944
625,47052
625,49411
625,9861
625,14155
625,37218
625,20506
625,40492
625,8697
625,18639
625,33793
625,16115
625,24741
834,109751
834,251407
834,132889
834,46025
834,464479
834,129109
834,27614
834,126221
834,38365
834,134901
834,211342
834,271155
834,153407
834,33980
834,81520
834,25009
834,151619
834,325355
834,63694
834,274631
834,135774
834,184691
834,286324
834,161773
834,258079
834,75451
834,29194
834,100239
834,91243
834,118082
834,50809
834,138304
834,11725
834,122509
834,77591
834,38502
834,40637
834,69832
834,5647
834,41435
834,41588
834,9448
834,3376
834,23370
834,20583
834,25640
834,14155
834,56528
834,56287
834,59770
834,144
834,37133
834,29186
920,54410
920,572359
920,172329
920,355938
920,61789
920,565228
920,515535
920,542919
920,223092
920,562050
920,193561
920,561411
920,252366
920,561222
920,189524
920,103671
920,218290
920,472246
920,402059
920,90043
920,424876
920,27072
920,534866
920,214345
920,440554
920,266767
920,525035
920,505261
920,528226
920,427417
920,29242
920,524179
920,4005
920,336635
920,516077
920,47694
920,514278
920,513084
920,512820
920,511591
920,510533
920,509126
920,113651
920,128002
920,94850
920,268272
920,411417
920,7762
920,497488
920,5399
920,489434
920,447137
920,455295
920,149173
920,364855
920,452617
920,310139
920,247669
920,223325
920,5705
920,429954
920,280674
920,299730
920,471003
920,154153
920,477550
920,279903
920,476894
920,548
920,331239
920,27614
920,270366
920,464479
920,13651
920,25213
920,455539
920,469093
920,363077
920,468044
920,267564
920,74084
920,439555
920,215952
920,272350
920,343656
920,148096
920,110654
920,221199
920,88974
920,289075
920,155936
920,458133
920,342730
920,457010
920,455586
920,304491
920,44446
920,128629
920,333725
920,126221
920,350394
920,38102
920,129757
920,222926
920,109904
920,435234
920,220407
920,208392
920,439137
920,134901
920,332496
920,187017
920,433879
920,211342
920,87446
920,181767
920,432258
920,11722
920,413613
920,38616
920,265786
920,425454
920,181445
920,354622
920,211610
920,223457
920,170488
920,218471
920,415199
920,411641
920,414850
920,394390
920,211609
920,275777
920,342443
920,271155
920,67016
920,325204
920,110683
920,89507
920,238181
920,1583
920,304236
920,43086
920,397629
920,12312
920,185678
920,238912
920,267613
920,271312
920,218066
920,328584
920,186957
920,330804
920,8019
920,194621
920,284042
920,345525
920,386722
920,386391
920,212162
920,210937
920,19076
920,136941
920,246362
920,81520
920,258965
920,44660
920,347347
920,22910
920,259415
920,381451
920,381168
920,365529
920,359162
920,174002
920,208841
920,332379
920,328696
920,378386
920,128715
920,185413
920,267347
920,84948
920,117583
920,117002
920,343536
920,16281
920,93484
920,369457
920,243704
920,105221
920,32598
920,168809
920,220171
920,369935
920,325355
920,72186
920,354814
920,362317
920,11177
920,358835
920,338331
920,33864
920,148215
920,99940
920,36348
920,355132
920,354215
920,244061
920,304109
920,352462
920,22448
920,350632
920,7951
920,119167
920,151619
920,65958
920,324757
920,186612
920,191113
920,56206
920,344925
920,322564
920,295815
920,246475
920,341466
920,218360
920,314775
920,322172
920,161895
920,320595
920,334854
920,11170
920,311409
920,136559
920,324928
920,332983
920,128734
920,67312
920,117001
920,162178
920,212245
920,127340
920,295150
920,186592
920,248524
920,8533
920,1983
920,84548
920,91282
920,135774
920,304414
920,103197
920,122066
920,230858
920,318042
920,242818
920,147215
920,246772
920,1258
920,127334
920,312613
920,184691
920,314157
920,271482
920,127052
920,304730
920,167944
920,2026
920,126831
920,55830
920,109492
920,35252
920,193510
920,167678
920,246417
920,199283
920,153591
920,63880
920,147186
920,302499
920,97780
920,26333
920,56910
920,6526
920,166456
920,88879
920,50803
920,59787
920,143501
920,78743
920,12540
920,36049
920,157303
920,15876
920,302676
920,34594
920,36163
920,301
920,300655
920,51060
920,6344
920,40711
920,171787
920,65469
920,6130
920,172662
920,285245
920,149548
920,63694
920,284618
920,143577
920,146234
920,28156
920,239312
920,165022
920,29600
920,192857
920,241162
920,123751
920,258193
920,133999
920,217840
920,77216
920,294254
920,118125
920,105465
920,236662
920,8194
920,192639
920,233775
920,289028
920,288221
920,280112
920,11546
920,227668
920,284896
920,213601
920,92526
920,25342
920,164526
920,189818
920,44986
920,4410
920,279191
920,84115
920,278218
920,7312
920,276682
920,88441
920,50999
920,102829
920,255759
920,264349
920,136631
920,264248
920,253154
920,235118
920,14072
920,78146
920,171684
920,151744
920,103906
920,18126
920,109448
920,234104
920,192091
920,186677
920,24120
920,249840
920,200878
920,90411
920,229545
920,150593
920,30736
920,75451
920,246104
920,107603
920,23266
920,243685
920,22412
920,242892
920,114705
920,66991
920,115812
920,11164
920,240479
920,59969
920,8947
920,169457
920,238081
920,237984
920,7408
920,134547
920,33973
920,161773
920,230587
920,228233
920,188146
920,217080
920,214281
920,212980
920,71021
920,211291
920,131444
920,138902
920,206969
920,150426
920,26949
920,204573
920,202178
920,89689
920,173785
920,191735
920,191383
920,53307
920,15130
920,138401
920,144712
920,4020
920,48613
920,178065
920,165023
920,155875
920,177175
920,60361
920,17238
920,107590
920,173150
920,171492
920,165532
920,126490
920,158955
920,87416
920,163302
920,53389
920,33627
920,153133
920,152917
920,151136
920,151065
920,136795
920,138304
920,76255
920,133186
920,4193
920,122551
920,130284
920,29842
920,116963
920,11725
920,8486
920,96992
920,125585
920,119224
920,123301
920,114878
920,94454
920,52478
920,117255
920,47922
920,39734
920,21376
920,86515
920,33125
920,22616
920,38502
920,23223
920,4048
920,98963
920,106432
920,105810
920,29982
920,93755
920,3843
920,9286
920,1967
920,31656
920,102338
920,69832
920,51718
920,137
920,100496
920,38403
920,62797
920,98730
920,3463
920,44699
920,8071
920,57803
920,20863
920,40480
920,10869
920,30742
920,58961
920,94261
920,93800
920,92573
920,25413
920,16347
920,1536
920,42374
920,47971
920,91361
920,426
920,17903
920,28282
920,72694
920,87157
920,49475
920,31990
920,27341
920,725
920,84815
920,83581
920,65231
920,75000
920,67695
920,77454
920,30842
920,58636
920,70060
920,81510
920,5053
920,124
920,1400
920,82772
920,50214
920,5529
920,22523
920,27611
920,4584
920,527
920,19714
920,63684
920,3096
920,79404
920,59384
920,62326
920,50375
920,29855
920,40175
920,3795
920,20312
920,42936
920,5035
920,9646
920,1415
920,276
920,30964
920,64588
920,1914
920,34965
920,17729
920,45395
920,37735
920,74073
920,20362
920,8881
920,22324
920,19939
920,57955
920,58925
920,31322
920,63893
920,41588
920,18536
920,57030
920,57501
920,70393
920,17265
920,58694
920,70227
920,55048
920,2531
920,19074
920,3306
920,1894
920,24594
920,59652
920,9416
920,540
920,16445
920,4141
920,10095
920,111
920,19734
920,2000
920,37330
920,2975
920,53428
920,8682
920,54906
920,54538
920,52409
920,37355
920,56528
920,14155
920,2
920,58586
920,53217
920,49411
920,18639
920,37218
920,49510
920,4172
920,35665
920,47052
920,57873
920,33793
920,9009
920,56602
920,55383
920,9861
920,42739
920,38094
920,30673
920,24599
920,859
920,5895
920,184
1028,571457
1028,568499
1028,407144
1028,556076
1028,553432
1028,402059
1028,58142
1028,549337
1028,544874
1028,544371
1028,543814
1028,119478
1028,271200
1028,538549
1028,521956
1028,518408
1028,507494
1028,505651
1028,503766
1028,500526
1028,488202
1028,485166
1028,280927
1028,480528
1028,477976
1028,81626
1028,464479
1028,470654
1028,470325
1028,469433
1028,270267
1028,215952
1028,460560
1028,126221
1028,455586
1028,36570
1028,435234
1028,433879
1028,11397
1028,441150
1028,440389
1028,181767
1028,440102
1028,438173
1028,211342
1028,89656
1028,428187
1028,422518
1028,391852
1028,123727
1028,96586
1028,207053
1028,418370
1028,378409
1028,415677
1028,449
1028,223457
1028,192960
1028,379
1028,404405
1028,182726
1028,399379
1028,49692
1028,1726
1028,390671
1028,212103
1028,383067
1028,381350
1028,128360
1028,178726
1028,367709
1028,364843
1028,9260
1028,353275
1028,353566
1028,151619
1028,97780
1028,78722
1028,275756
1028,79924
1028,324928
1028,322172
1028,340657
1028,338159
1028,336725
1028,35461
1028,330260
1028,109492
1028,135774
1028,325528
1028,87079
1028,43378
1028,99275
1028,323836
1028,92526
1028,322001
1028,321663
1028,320240
1028,203427
1028,316673
1028,78435
1028,214050
1028,309547
1028,308378
1028,308295
1028,307426
1028,45410
1028,301893
1028,47837
1028,256857
1028,161497
1028,5372
1028,293647
1028,293449
1028,292486
1028,291310
1028,920
1028,288097
1028,287387
1028,163328
1028,32271
1028,17729
1028,158643
1028,278041
1028,276161
1028,255759
1028,268312
1028,266964
1028,265312
1028,264916
1028,260640
1028,43492
1028,256800
1028,250804
1028,250061
1028,249991
1028,247287
1028,248611
1028,63177
1028,75451
1028,246161
1028,243380
1028,86132
1028,242520
1028,240447
1028,114118
1028,236209
1028,180547
1028,233609
1028,233594
1028,69683
1028,151063
1028,228549
1028,67750
1028,226607
1028,9259
1028,223973
1028,223892
1028,9712
1028,1905
1028,218306
1028,213398
1028,188170
1028,209945
1028,210842
1028,210794
1028,210658
1028,207827
1028,206040
1028,65183
1028,200321
1028,51113
1028,1756
1028,34221
1028,198676
1028,198033
1028,7037
1028,82878
1028,143611
1028,105576
1028,194194
1028,193164
1028,192567
1028,192457
1028,190997
1028,42118
1028,186118
1028,145906
1028,42296
1028,184417
1028,183974
1028,181884
1028,178847
1028,178680
1028,176996
1028,176037
1028,7168
1028,58133
1028,173856
1028,170868
1028,173247
1028,171760
1028,45224
1028,171492
1028,171441
1028,168458
1028,166893
1028,158955
1028,164748
1028,138306
1028,164157
1028,152600
1028,122301
1028,118032
1028,159356
1028,158375
1028,157341
1028,155397
1028,155034
1028,153299
1028,153203
1028,96524
1028,125991
1028,44608
1028,31714
1028,149272
1028,97166
1028,48614
1028,146565
1028,23266
1028,142780
1028,136795
1028,115281
1028,140139
1028,128208
1028,136233
1028,131343
1028,133300
1028,1040
1028,132648
1028,132244
1028,131879
1028,79279
1028,11725
1028,69114
1028,128096
1028,121251
1028,127813
1028,127648
1028,127527
1028,126957
1028,126488
1028,125546
1028,87472
1028,18763
1028,114436
1028,124171
1028,123585
1028,122368
1028,120910
1028,119833
1028,118493
1028,116889
1028,34873
1028,115428
1028,47922
1028,115819
1028,65796
1028,114015
1028,39734
1028,85039
1028,113079
1028,98938
1028,89411
1028,100581
1028,77838
1028,109240
