id, name, tw_url, al_url, li_url, followers, num_investments
2,"Babak Nivi",https://twitter.com/venturehacks,https://angel.co/nivi,http://www.linkedin.com/in/bnivi,16641,1
12,"Jeff Fluhr",http://twitter.com/jefffluhr,https://angel.co/jfluhr,http://www.linkedin.com/pub/jeff-fluhr/0/168/26,4092,36
13,"Geoff Ralston",http://twitter.com/#!/gralston,https://angel.co/gralston,http://www.linkedin.com/pub/geoff-ralston/0/139/907,3054,48
14,"Yaron Carni",,https://angel.co/yaron,http://il.linkedin.com/pub/yaron-carni-yaroncarni/2/a73/907,178,2
15,"David Carter",http://twitter.com/#!/_davidcarter,https://angel.co/davidlcarter,http://www.linkedin.com/in/davidlcarter,853,21
16,"Beau Laskey",http://twitter.com/@beaulaskey,https://angel.co/blackfish,http://www.linkedin.com/pub/beau-laskey/0/1b/504,451,5
17,"Jerry Neumann",http://twitter.com/#!/ganeumann,https://angel.co/ganeumann,http://www.linkedin.com/in/jerryneumann,2057,41
21,"Robb Kunz",http://twitter.com/robbkunz,https://angel.co/robbkunz,http://www.linkedin.com/in/robbkunz,1579,44
23,"Siobhan Quinn",http://www.twitter.com/siobhanquinn,https://angel.co/siobhanquinn,http://www.linkedin.com/in/siobhanquinn,413,0
24,"Akash Agarwal",http://twitter.com/akash_agarwal,https://angel.co/akash_agarwal,http://www.linkedin.com/in/aagarwal,270,4
25,"Sandy McKinnon",http://twitter.com/sandymac1000,https://angel.co/sandymac1000,http://uk.linkedin.com/in/sandymckinnon,256,4
59,"Tom Keller",http://twitter.com/tkeller,https://angel.co/tkeller,http://linkedin.com/in/tomkeller,222,4
26,"Dan Rosen",http://twitter.com/venturedan,https://angel.co/venturedan,http://www.linkedin.com/in/danrosen,2318,25
27,"Jim Hornthal",http://@hornthal,https://angel.co/hornthal,http://www.linkedin.com/pub/jim-hornthal/37/77a/2a,449,17
28,"Mo Koyfman",http://twitter.com/mokoyfman,https://angel.co/mokoyfman,http://www.linkedin.com/in/mokoyfman,3616,10
29,"Amish Jani",http://twitter.com/amishjani,https://angel.co/amishjani,http://www.linkedin.com/pub/amish-jani/3/67a/583,725,20
30,"Josh Hannah",http://twitter.com/jdh,https://angel.co/jdh,http://www.linkedin.com/in/joshhannah,3247,24
31,"Peter Hershberg",http://www.twitter.com/hershberg,https://angel.co/hershberg,http://www.linkedin.com/in/hershberg,1663,21
32,"Roberto Bonanzinga",http://twitter.com/bonanzinga,https://angel.co/bonanzinga,http://www.linkedin.com/in/bonanzinga,1776,10
33,"Jeremy Levine",http://twitter.com/jeremyl,https://angel.co/jeremyl,http://www.linkedin.com/in/jeremyl,1970,3
34,"Daniel Heaf",http://twitter.com/danielheaf,https://angel.co/danielheaf,http://uk.linkedin.com/in/danielheaf,485,6
35,"Sarah Tavel",http://www.twitter.com/sarahtavel,https://angel.co/sarahtavel,http://www.linkedin.com/in/sarahtavel,2321,11
36,"Alex Finkelstein",http://twitter.com/finkelstein1,https://angel.co/finkelstein1,http://www.linkedin.com/pub/alex-finkelstein/1/5a8/b90,298,1
37,"Josh Stein",http://twitter.com/dfjjosh,https://angel.co/dfjjosh,http://www.linkedin.com/pub/josh-stein/0/a/630,1279,17
38,"Joel Yarmon",http://twitter.com/joelyarmon,https://angel.co/joelyarmon,http://www.linkedin.com/in/joelyarmon,1069,68
39,"Gaurav Tewari",http://twitter.com/GTMIT,https://angel.co/gtmit,http://www.linkedin.com/in/gtewari,585,20
40,"Bob Shapiro",http://twitter.com/SandboxTweets,https://angel.co/bob,http://www.linkedin.com/pub/robert-shapiro/0/807/77b,281,11
41,"Shaun Collopy",http://twitter.com/shauncollopy,https://angel.co/shauncollopy,http://www.linkedin.com/pub/shaun-collopy/3/ba1/121,198,5
42,"Kal Vepuri",http://twitter.com/kalvepuri,https://angel.co/kal,http://www.linkedin.com/in/kalvepuri,4019,43
43,"Paul Bragiel",http://twitter.com/bragiel,https://angel.co/bragiel,http://www.linkedin.com/in/bragiel,2443,14
44,"Ryan Spoon",http://twitter.com/ryanspoon,https://angel.co/ryanspoon,http://www.linkedin.com/in/ryanspoon,2635,16
45,"Peter Lehrman",http://twitter.com/petelehrman,https://angel.co/petelehrman,http://www.linkedin.com/in/plehrman,2342,29
46,"Sam Pullara",http://twitter.com/sampullara,https://angel.co/spullara,http://www.linkedin.com/in/spullara,2970,4
47,"Ryan McIntyre",http://twitter.com/ryan_mcintyre,https://angel.co/ryan_mcintyre,http://www.linkedin.com/in/ryanmcintyre,835,19
48,"Alexander Lloyd",http://twitter.com/#!/alex01,https://angel.co/alex01,http://www.linkedin.com/in/alexander01,2470,38
49,"Boris Wertz",http://twitter.com/bwertz,https://angel.co/bwertz,http://ca.linkedin.com/in/bwertz,3448,40
50,"Satya Patel",http://twitter.com/satyap,https://angel.co/satyap,http://www.linkedin.com/in/satyapatel,1901,27
